"Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity"
0,0,0,1,0,1,1,1,"F8",3,4
1,1,1,0,1,1,0,0,"F9",3,5
1,1,0,1,1,0,1,0,"G10",3,5
1,1,0,0,1,1,0,1,"G11",3,5
1,0,0,0,1,0,1,1,"G2",3,4
0,1,1,0,1,1,0,0,"G3",3,4
0,1,0,1,1,1,0,0,"G4",3,4
0,1,0,0,1,1,1,0,"G5",3,4
0,0,1,1,1,0,0,1,"G6",3,4
0,0,1,0,1,0,1,1,"G7",3,4
0,0,0,0,1,1,1,1,"G8",3,4
1,1,1,0,1,0,1,0,"G9",3,5
1,1,0,1,1,1,1,0,"B10",4,6
1,0,1,1,1,1,0,1,"B11",4,6
1,1,0,0,1,0,1,1,"B2",4,5
1,0,1,1,0,1,0,1,"B3",4,5
1,0,0,1,1,1,1,0,"B4",4,5
0,1,1,1,1,0,1,0,"B5",4,5
0,1,1,0,1,1,0,1,"B6",4,5
0,1,0,1,0,1,1,1,"B7",4,5
0,0,1,0,1,1,1,1,"B8",4,5
1,1,1,1,0,1,0,1,"B9",4,6
1,1,0,1,1,1,0,1,"C10",4,6
1,0,1,1,1,0,1,1,"C11",4,6
1,1,0,0,0,1,1,1,"C2",4,5
1,0,1,1,0,0,1,1,"C3",4,5
1,0,0,1,1,1,0,1,"C4",4,5
0,1,1,1,1,0,0,1,"C5",4,5
0,1,1,0,1,0,1,1,"C6",4,5
0,1,0,0,1,1,1,1,"C7",4,5
0,0,0,1,1,1,1,1,"C8",4,5
1,1,1,1,0,0,1,1,"C9",4,6
1,1,0,1,1,0,1,1,"D10",4,6
1,0,1,1,0,1,1,1,"D11",4,6
1,0,1,1,1,1,0,0,"D2",4,5
1,0,1,0,1,1,1,0,"D3",4,5
1,0,0,1,1,0,1,1,"D4",4,5
0,1,1,1,0,1,1,0,"D5",4,5
0,1,1,0,0,1,1,1,"D6",4,5
0,0,1,1,1,1,1,0,"D7",4,5
1,1,1,1,1,1,0,0,"D8",4,6
1,1,1,0,1,1,1,0,"D9",4,6
1,1,0,1,0,1,1,1,"E10",4,6
1,0,1,0,1,1,1,1,"E11",4,6
1,0,1,1,1,0,1,0,"E2",4,5
1,0,1,0,1,1,0,1,"E3",4,5
1,0,0,1,0,1,1,1,"E4",4,5
0,1,1,1,0,1,0,1,"E5",4,5
0,1,0,1,1,1,1,0,"E6",4,5
0,0,1,1,1,1,0,1,"E7",4,5
1,1,1,1,1,0,1,0,"E8",4,6
1,1,1,0,1,1,0,1,"E9",4,6
1,1,0,0,1,1,1,1,"F10",4,6
1,0,0,1,1,1,1,1,"F11",4,6
1,0,1,1,1,0,0,1,"F2",4,5
