"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null_model"
"100",0,1,0,0,1,0,0,0,45.7018243856594,47.9669813719612,46.9730983256407,43.7782294095084,49.6210236351498,46.7768492049913,0.861246683222174,0.995625991739372,1.14547408671978,1.00419543265493,2,"25",FALSE,4
"100",0,1,0,0,0,1,0,0,46.8165553482136,49.9998691220093,48.0965676761656,43.7782294095084,49.6210236351498,46.7768492049913,0.860843743682903,0.982533227860785,1.11431856802035,1.02821306893482,2,"26",FALSE,4
"100",0,1,0,0,0,0,1,0,44.0787146877826,47.5692067913727,45.1024043562006,43.7782294095084,49.6210236351498,46.7768492049913,0.852540603348024,0.987518890899954,1.14177766314175,0.964203556305111,2,"27",FALSE,4
"100",0,1,0,0,0,0,0,1,42.8569864866528,46.8388139480631,45.4033238383991,43.7782294095084,49.6210236351498,46.7768492049913,0.82126361932541,0.980909290160372,1.17688028656081,0.970636642058276,2,"28",FALSE,4
"100",0,0,1,1,0,0,0,0,46.9724152247184,48.5725426249261,47.7991590523835,43.7782294095084,49.6210236351498,46.7768492049913,0.86845902012826,0.984055513280764,1.10874205125029,1.02185503865196,2,"34",FALSE,4
"100",0,0,1,0,1,0,0,0,44.0942514123323,47.4056465278779,45.7217253084664,43.7782294095084,49.6210236351498,46.7768492049913,0.841272892014203,0.97592114650092,1.12549136109155,0.977443459436505,2,"35",FALSE,4
"100",0,0,1,0,0,1,0,0,48.1820051043779,48.7719470135106,48.5507089666211,43.7782294095084,49.6210236351498,46.7768492049913,0.8853880808558,0.998623748907964,1.12190197102384,1.03792174530303,2,"36",FALSE,4
"100",0,0,1,0,0,0,1,0,43.84963540562,46.6669299906555,44.8467898870057,43.7782294095084,49.6210236351498,46.7768492049913,0.857124695320994,0.990047869391942,1.13743342474007,0.958739005495486,2,"37",FALSE,4
"100",0,0,1,0,0,0,0,1,44.9084517255362,47.1751979515412,46.3803684483192,43.7782294095084,49.6210236351498,46.7768492049913,0.860224475141437,1.00934488163966,1.19561145913316,0.991523996091858,2,"38",FALSE,4
"100",0,0,0,1,1,0,0,0,43.9609388263739,47.038432330411,45.9636635591833,43.7782294095084,49.6210236351498,46.7768492049913,0.835100372391016,0.974464896469774,1.12718443565879,0.982615638726662,2,"45",FALSE,4
"100",0,0,0,1,0,1,0,0,46.70634065583,48.2328128272073,47.530863885,43.7782294095084,49.6210236351498,46.7768492049913,0.857594455541706,0.971443318305621,1.09181627064426,1.01611939865176,2,"46",FALSE,4
"100",0,0,0,1,0,0,1,0,43.3441840777227,47.4979321663953,45.138382246012,43.7782294095084,49.6210236351498,46.7768492049913,0.85284703056227,0.989141327453124,1.13830563362603,0.964972695108237,2,"47",FALSE,4
"100",0,0,0,1,0,0,0,1,45.0271646923243,48.7191675631984,47.3719570355817,43.7782294095084,49.6210236351498,46.7768492049913,0.863335820844946,1.02403468620059,1.21661453168699,1.01272227267772,2,"48",FALSE,4
"100",0,0,0,0,1,1,0,0,44.5870547381199,47.201667362717,45.7929638468141,43.7782294095084,49.6210236351498,46.7768492049913,0.839225219264211,0.96863214948414,1.10888667929098,0.978966403789501,2,"56",FALSE,4
