"PlateTrue","Rep","Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
11,3,"74",1,0,1,0,0,0,0,1,3,"1F9","11F9",25.8519790399058
16,4,"74",1,0,1,0,0,0,0,1,3,"1F9","16F9",25.5807022646208
1,1,"74",1,0,0,0,1,0,0,1,3,"1G10","1G10",28.8888202122832
6,2,"74",1,0,0,0,1,0,0,1,3,"1G10","6G10",28.2571385729905
11,3,"74",1,0,0,0,1,0,0,1,3,"1G10","11G10",26.4970447490386
16,4,"74",1,0,0,0,1,0,0,1,3,"1G10","16G10",25.466102865388
1,1,"74",0,1,1,0,0,1,0,0,3,"1G11","1G11",35.6162376523566
6,2,"74",0,1,1,0,0,1,0,0,3,"1G11","6G11",25.8807267166415
11,3,"74",0,1,1,0,0,1,0,0,3,"1G11","11G11",28.7612757397117
16,4,"74",0,1,1,0,0,1,0,0,3,"1G11","16G11",30.76792037162
1,1,"74",0,0,0,0,0,1,0,0,1,"1G2","1G2",33.5744463239179
6,2,"74",0,0,0,0,0,1,0,0,1,"1G2","6G2",34.4604750478971
11,3,"74",0,0,0,0,0,1,0,0,1,"1G2","11G2",33.224490749476
16,4,"74",0,0,0,0,0,1,0,0,1,"1G2","16G2",33.7771592335302
1,1,"74",1,0,0,0,1,0,0,0,2,"1G3","1G3",24.538288548667
6,2,"74",1,0,0,0,1,0,0,0,2,"1G3","6G3",20.9076728051983
11,3,"74",1,0,0,0,1,0,0,0,2,"1G3","11G3",24.256288959049
16,4,"74",1,0,0,0,1,0,0,0,2,"1G3","16G3",25.0456792777102
1,1,"74",0,1,0,0,1,0,0,0,2,"1G4","1G4",25.0622753949663
6,2,"74",0,1,0,0,1,0,0,0,2,"1G4","6G4",22.7367377376097
11,3,"74",0,1,0,0,1,0,0,0,2,"1G4","11G4",25.0689172355295
16,4,"74",0,1,0,0,1,0,0,0,2,"1G4","16G4",25.8030449991204
1,1,"74",0,0,1,0,0,1,0,0,2,"1G5","1G5",25.5147860997599
6,2,"74",0,0,1,0,0,1,0,0,2,"1G5","6G5",34.5766443940678
11,3,"74",0,0,1,0,0,1,0,0,2,"1G5","11G5",29.6581284216088
16,4,"74",0,0,1,0,0,1,0,0,2,"1G5","16G5",28.6743483409693
1,1,"74",0,0,0,1,0,0,0,1,2,"1G6","1G6",26.9090794798302
6,2,"74",0,0,0,1,0,0,0,1,2,"1G6","6G6",29.6165127589309
11,3,"74",0,0,0,1,0,0,0,1,2,"1G6","11G6",25.6815035212671
16,4,"74",0,0,0,1,0,0,0,1,2,"1G6","16G6",26.825596705185
1,1,"74",0,0,0,0,0,0,1,1,2,"1G7","1G7",27.9176562637895
6,2,"74",0,0,0,0,0,0,1,1,2,"1G7","6G7",21.3773018095152
11,3,"74",0,0,0,0,0,0,1,1,2,"1G7","11G7",21.0578062263943
16,4,"74",0,0,0,0,0,0,1,1,2,"1G7","16G7",21.3689061336802
1,1,"74",1,1,0,0,0,0,0,1,3,"1G8","1G8",28.3311413042815
6,2,"74",1,1,0,0,0,0,0,1,3,"1G8","6G8",28.2624807051243
11,3,"74",1,1,0,0,0,0,0,1,3,"1G8","11G8",30.8291714122927
16,4,"74",1,1,0,0,0,0,0,1,3,"1G8","16G8",28.306126164322
1,1,"74",1,0,0,1,1,0,0,0,3,"1G9","1G9",24.3836662361695
6,2,"74",1,0,0,1,1,0,0,0,3,"1G9","6G9",21.9491359799183
11,3,"74",1,0,0,1,1,0,0,0,3,"1G9","11G9",25.1922834978473
16,4,"74",1,0,0,1,1,0,0,0,3,"1G9","16G9",25.2055136123177
