"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null","response"
"100",0,0,0,1,0,1,0,1,45.3199942499317,48.1058478717012,46.9194701651649,43.7782294095084,49.6210236351498,46.7768492049913,0.715065403101871,1.00724327248286,1.37633460725729,1.00304896466089,3,"468",FALSE,1.02318539850381,"Additive"
"100",0,0,0,1,0,0,1,1,42.7170216747117,45.448785950782,43.5844840964062,43.7782294095084,49.6210236351498,46.7768492049913,0.676957205589512,0.970208366530896,1.34492367476402,0.93175331039089,3,"478",FALSE,0.991331058735987,"Additive"
"100",0,0,0,0,1,1,1,0,41.8136590213015,44.5552288808869,43.1218102952318,43.7782294095084,49.6210236351498,46.7768492049913,0.76178434819832,1.03269004839612,1.37637050084875,0.921862225184471,3,"567",FALSE,0.913388142547926,"Additive"
"100",0,0,0,0,1,1,0,1,43.418133873287,49.4716829196721,47.0522647361337,43.7782294095084,49.6210236351498,46.7768492049913,0.705548591341643,1.04476816493909,1.47519263602926,1.00588785982432,3,"568",FALSE,0.998069488035951,"Additive"
"100",0,0,0,0,1,0,1,1,43.1863875021981,45.095385318317,43.8660144756774,43.7782294095084,49.6210236351498,46.7768492049913,0.701257400324543,1.01643941416023,1.43725358827303,0.937771894029081,3,"578",FALSE,0.952499263230593,"Additive"
"100",0,0,0,0,0,1,1,1,41.5586871244819,44.5655541667817,43.1761714375865,43.7782294095084,49.6210236351498,46.7768492049913,0.667277527408547,0.963093782221487,1.32931171502958,0.923024362935915,3,"678",FALSE,0.984438150996233,"Additive"
"100",1,1,1,1,0,0,0,0,46.419088271226,49.5066373065371,48.2890991098609,43.7782294095084,49.6210236351498,46.7768492049913,0.489563562529841,0.985048233547435,1.78667219982989,1.032329024519,4,"1234",FALSE,1.16497691715654,"Additive"
"100",1,1,1,0,1,0,0,0,45.2301892306446,47.9663488488963,46.7250925779809,43.7782294095084,49.6210236351498,46.7768492049913,0.476538004205387,1.03848667092574,1.96546690708788,0.998893541829129,4,"1235",FALSE,1.09457896996681,"Additive"
"100",1,1,1,0,0,1,0,0,47.0257985525095,49.4721727882184,47.99554613062,43.7782294095084,49.6210236351498,46.7768492049913,0.494851760068136,0.984552450674362,1.77127431126529,1.02605342057752,4,"1236",FALSE,1.15569136438293,"Additive"
"100",1,1,1,0,0,0,1,0,44.1307036849199,47.6947804010328,46.0845652158004,43.7782294095084,49.6210236351498,46.7768492049913,0.457336242074585,0.985173732655421,1.87190593022929,0.985200286018473,4,"1237",FALSE,1.13296231363075,"Additive"
"100",1,1,1,0,0,0,0,1,47.7987237785498,48.3424821157597,48.0706029471548,43.7782294095084,49.6210236351498,46.7768492049913,0.431208466688255,0.992497745424823,2.00609078936195,1.02765799245036,4,"1238",FALSE,1.20670054825503,"Additive"
"100",1,1,0,1,1,0,0,0,43.5543662254583,47.5558811768109,45.821740049908,43.7782294095084,49.6210236351498,46.7768492049913,0.497497704879363,1.04590195874629,1.97784069677791,0.979581584238439,4,"1245",FALSE,1.05738473852543,"Additive"
"100",1,1,0,1,0,1,0,0,47.0495394946648,48.485779210517,47.8787453504938,43.7782294095084,49.6210236351498,46.7768492049913,0.496134687646054,0.983939112289575,1.75118728823577,1.02355644221939,4,"1246",FALSE,1.16224648386708,"Additive"
"100",1,1,0,1,0,0,1,0,43.4533771372731,46.618586901754,45.5580744025493,43.7782294095084,49.6210236351498,46.7768492049913,0.470408780141186,0.993675032875438,1.85272637686775,0.973944914564447,4,"1247",FALSE,1.10912877072884,"Additive"
"100",1,1,0,1,0,0,0,1,47.6776983252716,48.3498664872277,48.0137824062496,43.7782294095084,49.6210236351498,46.7768492049913,0.428156282169193,1.01192035082966,2.04835394622879,1.02644327743918,4,"1248",FALSE,1.18415364931897,"Additive"
"100",1,1,0,0,1,1,0,0,44.39295971576,48.9337892971188,46.3190086656906,43.7782294095084,49.6210236351498,46.7768492049913,0.515712436853806,1.09798277255673,2.03733604892617,0.990212240732712,4,"1256",FALSE,1.01953089124424,"Additive"
"100",1,1,0,0,1,0,1,0,42.7492884850925,44.7591960806521,43.8695473678207,43.7782294095084,49.6210236351498,46.7768492049913,0.497057424284053,1.07984721611259,2.12930245968128,0.937847420538525,4,"1257",FALSE,1.00682363555296,"Additive"
"100",1,1,0,0,1,0,0,1,47.1031197363123,47.6510226300179,47.3770711831651,43.7782294095084,49.6210236351498,46.7768492049913,0.412908686417483,0.995680320241634,2.04678494172145,1.01283160341868,4,"1258",FALSE,1.20566584451568,"Additive"
"100",1,1,0,0,0,1,1,0,43.1242195512746,46.9775218688647,45.6943407939285,43.7782294095084,49.6210236351498,46.7768492049913,0.466328947735616,0.993234008034661,1.89158968900557,0.976858030639925,4,"1267",FALSE,1.10949131358535,"Additive"
"100",1,1,0,0,0,1,0,1,44.7152710013273,48.6147214820782,46.6124108749896,43.7782294095084,49.6210236351498,46.7768492049913,0.416986471199648,0.976426215196636,1.96016073133697,0.996484621499813,4,"1268",FALSE,1.18325104570159,"Additive"
"100",1,1,0,0,0,0,1,1,42.1524521423386,46.2702149542487,43.8496884960557,43.7782294095084,49.6210236351498,46.7768492049913,0.381069006448736,0.951236253341003,1.95635158017835,0.93742287565997,4,"1278",FALSE,1.17480511120482,"Additive"
"100",1,0,1,1,1,0,0,0,44.5724691621007,48.596192546335,46.9055455156764,43.7782294095084,49.6210236351498,46.7768492049913,0.503107573254199,1.06589887923005,2.02540796243814,1.00275128215928,4,"1345",FALSE,1.06491441401582,"Additive"
"100",1,0,1,1,0,1,0,0,46.5051667043058,49.1567714161995,47.8440989197139,43.7782294095084,49.6210236351498,46.7768492049913,0.531179297114291,1.03919269949706,1.82244752869475,1.02281576747603,4,"1346",FALSE,1.08605894687194,"Additive"
"100",1,0,1,1,0,0,1,0,43.1230658311052,47.6859688473286,45.5250167762741,43.7782294095084,49.6210236351498,46.7768492049913,0.505192924148482,1.05694330461442,2.01819230523405,0.97323820543724,4,"1347",FALSE,1.04235414450188,"Additive"
